posX,posY,posZ,vx,vy,vz,angleFromWorldX
-0.002914098434605709,2.493960735190728,-0.0007975197321627775,-0.009043920999944973,-0.1708452940277819,-0.003415907367143651,0.08001591212626114
-0.003797643713274637,2.49313541328304,-0.0008258423402489875,-0.014800889490471179,-0.1766968819022424,0.000006104335452486487,0.1002021945496448
-0.00483849782715225,2.4939637502535152,-0.0008255039265918803,-0.01584894794414181,-0.17774112657079394,0.000004992167838592674,0.12399854189317182
-0.0027907312429053923,2.495342872225728,-0.0010748682263167781,0.1083063988694302,-0.2886755239354996,-0.0068208599283363916,0.07732598208743666
-0.0025677553026093817,2.492291963992283,-0.0002030222711852559,-0.014490190992784972,-0.17635968781558897,-0.00003852273188584684,0.07223454353996317
-0.003703683763289476,2.4927528104608943,-0.000204127725958183,-0.017789904800727764,-0.17967794636377968,0.0000047711432427759295,0.09815887701258331
-0.004911800678395903,2.4938711399432476,-0.00020355472009347164,-0.018217445124436463,-0.1801148117326326,0.000010491982210546405,0.125777801717418
-0.003002517949274793,2.4955541612217926,-0.0003015234555489839,0.10783674571622415,-0.28847679708260376,-0.0030660636026693046,0.08226937619609231
-0.003864356911958229,2.4933046393505838,-0.00037107880039463046,-0.015587831083054367,-0.17748981639605677,0.00001632194464920463,0.10282212374745371
-0.004995321955714394,2.4940795466081727,-0.0003716319298242643,-0.0173601652224745,-0.17926380070691267,-0.000013991466570445668,0.12866800807566584
-0.002908391025665061,2.494013399620877,-0.0005489559481030336,-0.009005868339184755,-0.170835713500867,-0.0026420743128436706,0.08123246999552672
-0.003892623845028251,2.4932523858843454,-0.0006413455356373606,-0.016006781401982976,-0.17748282240039087,-0.00040770508633377445,0.1048209230508391
-0.0049873467511877805,2.495242603628766,-0.0006501396362835709,-0.01656721064503673,-0.17836587719954236,-0.00008882123671561732,0.12983205174926427
-0.002800396427067518,2.4939898974596604,-0.0009351738087417151,-0.006534967596999661,-0.17176440315601374,-0.0034611643163011733,0.08168411355219787
-0.0036763787233169837,2.4931932968779633,-0.0010025953920192064,-0.01513532348177257,-0.17688850023867808,-0.0014689732035978367,0.10165708777906086
-0.00472641315381175,2.495115482412901,-0.0010628718895314998,-0.01588567913891043,-0.176889486208679,-0.0008847782585144605,0.12562475522707195
-0.0016420946820456458,2.494396674599711,-0.0005538675093303954,0.04673773669911548,-0.16569508564677013,0.05067614838254851,0.05555291334496771
-0.0023785288516048994,2.492306402124751,-0.0006413503204695581,-0.013923034002430487,-0.17790362797947062,-0.0021150046878897085,0.07220462103259506
-0.003400071389699453,2.4927688234516143,-0.0006900322230165651,-0.015923733813015123,-0.17764193574722628,-0.00015806833331439966,0.09544498371454105
-0.004478211792563414,2.4937451408656988,-0.0006916002931116255,-0.016270244375021777,-0.1781416308690379,-0.000013666636727656448,0.12004165818638307
-0.0024852126787509535,2.495213201362683,-0.0008994531649280258,0.1083133399216876,-0.2889279500935876,-0.00644770886691499,0.07473498965670443
-0.003193928038945606,2.4929921859362936,-0.0009816405576955557,-0.013253496846623681,-0.17513244886226093,7.786055773270042e-7,0.09273884530057104
-0.004176198676655721,2.4936322565019045,-0.0009943191338685562,-0.015103981245078071,-0.17677944609235557,-0.0002073750224114504,0.11510559369333032
-0.004165853746770424,2.4968033929863815,-0.0011756338031295608,0.04501404122362582,-0.23577381293381117,-0.008244380867183588,0.11490006001258846
-0.0018711282650162512,2.492468830276825,-0.0004870381631054114,-0.011096962726564255,-0.17314492762474568,-0.000668258544622841,0.06279039947232325
-0.0028317440789428286,2.4924562753645394,-0.0005817136344275294,-0.015475950442948376,-0.17751083914199076,-0.000609867029002026,0.08455552424426423
-0.0039115533817893015,2.493268629167012,-0.0005867027233781377,-0.016490387432079086,-0.17833298518672744,-0.0000836046489073408,0.10914027387413988
-0.004993512387362877,2.4958372727439304,-0.0006198782964148343,-0.015096801630608303,-0.17524044895305524,-0.0017453502653901089,0.13383223161862387
-0.0027430368638160915,2.4933068056990857,-0.0008970668014456575,-0.011301238590490844,-0.17252933546648835,-0.001531800662025783,0.08447432348937638
